exp_id,gas_type,speed,temp_inside,temp_outside,AC,rain,sun,weather_mix,consume_rate,consume
1,E10,26,21.5,12.0,0,0,0,ac OFF,0.18,5.0
2,E10,30,21.5,13.0,0,0,0,ac OFF,0.35,4.2
3,E10,38,21.5,15.0,0,0,0,ac OFF,0.49,5.5
4,E10,36,21.5,14.0,0,0,0,ac OFF,0.3,3.9
5,E10,46,21.5,15.0,0,0,0,ac OFF,0.24,4.5
7,E10,43,21.5,11.0,0,0,0,ac OFF,0.56,4.4
8,E10,40,21.5,6.0,0,0,0,ac OFF,0.41,5.0
10,E10,30,21.5,9.0,0,0,0,ac OFF,0.45,5.3
11,E10,42,21.5,4.0,0,0,0,ac OFF,0.45,5.6
12,E10,38,21.5,0.0,0,0,0,ac OFF,0.39,4.6
13,E10,59,21.5,10.0,0,0,0,ac OFF,0.48,5.9
14,E10,58,21.5,12.0,0,0,0,ac OFF,0.21,5.1
15,E10,46,21.5,11.0,0,0,0,ac OFF,0.38,4.7
16,E10,24,21.5,5.0,0,0,0,ac OFF,0.29,5.1
17,E10,36,21.5,3.0,0,0,0,ac OFF,0.17,5.6
18,E10,32,21.5,3.0,0,0,0,ac OFF,0.43,5.1
19,E10,39,21.5,8.0,0,0,0,ac OFF,0.19,4.9
20,E10,40,21.5,4.0,0,0,0,ac OFF,0.4,4.7
21,E10,32,21.5,3.0,0,0,0,ac OFF,0.22,5.5
22,E10,38,21.5,1.0,0,0,0,ac OFF,0.42,5.9
23,E10,37,21.5,1.0,0,0,0,ac OFF,0.32,5.7
24,E10,36,21.5,1.0,0,0,0,ac OFF,0.4,4.7
25,E10,62,21.5,6.0,0,0,0,ac OFF,0.48,5.9
26,E10,57,21.5,9.0,0,0,0,ac OFF,0.33,4.1
27,E10,21,22.5,2.0,0,0,0,ac OFF,0.31,5.7
28,E10,28,21.5,3.0,0,0,0,ac OFF,0.32,5.8
29,E10,29,21.5,1.0,0,0,0,ac OFF,0.3,5.5
30,E10,35,21.5,4.0,0,0,0,ac OFF,0.31,5.7
31,E10,51,21.5,11.0,0,0,0,ac OFF,0.43,5.3
32,E10,29,21.5,10.0,0,0,0,ac OFF,0.42,5.0
33,E10,58,21.5,8.0,0,0,0,ac OFF,0.46,5.6
34,E10,40,21.5,7.0,0,0,0,ac OFF,0.15,4.8
35,E10,36,21.5,7.0,0,0,0,ac OFF,0.23,4.3
36,E10,36,21.5,8.0,0,0,0,ac OFF,0.47,5.7
37,E10,37,21.5,4.0,0,0,0,ac OFF,0.26,5.2
39,E10,23,21.5,9.0,0,0,0,ac OFF,0.41,4.8
40,E10,58,21.5,7.0,0,0,0,ac OFF,0.53,6.5
41,E10,55,21.5,7.0,ac,rain,0,rainy with ac ON,0.32,4.0
43,E10,37,21.5,6.0,0,0,0,ac OFF,0.39,4.6
44,E10,44,21.5,7.0,0,0,0,ac OFF,0.42,4.3
140,E10,24,21.5,7.0,0,rain,0,rainy with ac OFF,0.34,5.4
141,E10,40,21.5,10.0,0,rain,0,rainy with ac OFF,0.36,4.3
142,E10,58,21.5,13.0,0,0,0,ac OFF,0.44,5.4
143,E10,49,21.5,17.0,0,0,0,ac OFF,0.35,4.3
145,E10,37,21.5,10.0,0,0,0,ac OFF,0.35,4.1
146,E10,41,21.5,18.0,0,0,0,ac OFF,0.22,4.4
147,E10,45,21.5,10.0,0,0,0,ac OFF,0.22,4.5
149,E10,45,21.5,12.0,0,0,0,ac OFF,0.13,4.7
150,E10,52,21.5,5.0,0,0,0,ac OFF,0.13,4.8
151,E10,46,21.5,8.0,0,0,0,ac OFF,0.24,4.0
152,E10,28,21.5,9.0,0,0,0,ac OFF,0.51,5.0
153,E10,61,21.5,7.0,0,rain,0,rainy with ac OFF,0.2,4.6
154,E10,61,21.5,6.0,ac,rain,0,rainy with ac ON,0.29,5.0
155,E10,37,21.5,7.0,0,0,0,ac OFF,0.36,4.3
157,E10,62,21.5,8.0,0,0,0,ac OFF,0.1,4.7
158,E10,34,21.5,9.0,0,rain,0,rainy with ac OFF,0.36,4.2
159,E10,44,21.5,9.0,0,rain,0,rainy with ac OFF,0.25,5.3
160,E10,60,21.5,9.0,0,rain,0,rainy with ac OFF,0.13,5.3
162,E10,38,21.5,7.0,0,0,0,ac OFF,0.18,4.8
163,E10,71,21.5,2.0,0,0,0,ac OFF,0.1,5.1
164,E10,53,21.5,2.0,0,0,0,ac OFF,0.23,4.4
167,E10,49,21.5,5.0,0,0,0,ac OFF,0.29,4.8
168,E10,40,21.5,6.0,0,0,0,ac OFF,0.5,6.1
169,E10,36,21.5,8.0,0,0,0,ac OFF,0.22,4.6
170,E10,43,21.5,7.0,0,0,0,ac OFF,0.23,4.8
171,E10,55,21.5,6.0,0,0,0,ac OFF,0.21,4.7
172,E10,38,21.5,8.0,0,0,0,ac OFF,0.11,4.8
173,E10,51,21.5,6.0,0,0,0,ac OFF,0.12,4.4
174,E10,44,21.5,0.0,0,0,0,ac OFF,0.42,4.9
175,E10,42,21.5,6.0,0,0,0,ac OFF,0.19,4.9
176,E10,44,21.0,3.0,0,0,0,ac OFF,0.11,4.4
177,E10,38,21.0,-5.0,0,0,0,ac OFF,0.43,5.3
178,E10,47,21.0,-3.0,0,0,0,ac OFF,0.38,5.3
180,E10,29,21.0,0.0,0,0,0,ac OFF,0.32,5.2
181,E10,50,22.5,0.0,0,0,0,ac OFF,0.4,4.9
182,E10,52,22.5,0.0,ac,rain,0,rainy with ac ON,0.58,7.1
183,E10,51,22.5,1.0,0,0,0,ac OFF,0.42,5.2
184,E10,59,22.5,3.0,0,0,0,ac OFF,0.15,4.7
